"stationId","stationName","state","wfo","radar","timeZoneId","latitude","longitude"
"KBTV","Burlington, Burlington International Airport","VT","BTV","CXX","America/New_York",44.46806,-73.15028
"KDDH","Bennington Morse State Airport","VT","ALY","ENX","America/New_York",42.89355,-73.2486
"KEFK","NEWPORT","VT","BTV","CXX","America/New_York",44.93,-72.2
"KMPV","Barre / Montpelier, Knapp State Airport","VT","BTV","CXX","America/New_York",44.20472,-72.56611
"KMVL","Morrisville-Stowe State Airport","VT","BTV","CXX","America/New_York",44.53589,-72.61625
"KRUT","Rutland-Southern Vermont Regional Airport","VT","BTV","CXX","America/New_York",43.53333,-72.95
"KVSF","Springfield, Hartness State Springfield Airport","VT","BTV","CXX","America/New_York",43.3425,-72.52167
"KFSO","Franklin County State Airport","VT","BTV","CXX","America/New_York",44.9402808,-73.09746
"KCDA","Caledonia County Airport","VT","BTV","CXX","America/New_York",44.5691142,-72.0179789
"K6B0","Middlebury State Airport","VT","BTV","CXX","America/New_York",43.9848,-73.0959
"KALW","Walla Walla Regional Airport","WA","PDT","PDT","America/Los_Angeles",46.09462,-118.2858
"KAWO","Arlington Municipal Airport","WA","SEW","ATX","America/Los_Angeles",48.1585,-122.15909
"KBFI","Boeing Field - King County International Airport","WA","SEW","ATX","America/Los_Angeles",47.54548,-122.3147
"KBLI","Bellingham, Bellingham International Airport","WA","SEW","ATX","America/Los_Angeles",48.79911,-122.54064
"KCLM","Port Angeles Fairchild International Airport","WA","SEW","ATX","America/Los_Angeles",48.12194,-123.50661
"KDEW","Deer Park, Deer Park Airport","WA","OTX","OTX","America/Los_Angeles",47.97417,-117.42833
"KDLS","The Dalles Municipal Airport","WA","PDT","RTX","America/Los_Angeles",45.61901,-121.16572
"KEAT","Wenatchee - Pangborn Memorial Airport","WA","OTX","ATX","America/Los_Angeles",47.39749,-120.20121
"KELN","Ellensburg, Ellensburg Bowers Field","WA","PDT","ATX","America/Los_Angeles",47.03377,-120.53132
"KEPH","Ephrata, Ephrata Municipal Airport","WA","OTX","OTX","America/Los_Angeles",47.3075,-119.51583
"KFHR","Friday Harbor Airport","WA","SEW","ATX","America/Los_Angeles",48.52,-123.02637
"KGEG","Spokane, Spokane International Airport","WA","OTX","OTX","America/Los_Angeles",47.62139,-117.52778
"KGRF","Fort Lewis / Gray U. S. Army Airfield","WA","SEW","LGX","America/Los_Angeles",47.11667,-122.55
"KHQM","Hoquiam, Bowerman Airport","WA","SEW","LGX","America/Los_Angeles",46.97111,-123.92
"KKLS","Southwest Washington Regional Airport","WA","PQR","RTX","America/Los_Angeles",46.11553,-122.89273
"KMWH","Grant County Airport","WA","OTX","OTX","America/Los_Angeles",47.19299,-119.31451
"KNUW","Whidbey Island Naval Air Station - Ault Field","WA","SEW","ATX","America/Los_Angeles",48.35525,-122.66352
"KOLM","Olympia, Olympia Airport","WA","SEW","LGX","America/Los_Angeles",46.97333,-122.90333
"KPAE","Everett Snohomish County","WA","SEW","ATX","America/Los_Angeles",47.92331,-122.28305
"KPSC","Tri-Cities Airport","WA","PDT","PDT","America/Los_Angeles",46.26955,-119.11813
"KPUW","Pullman / Moscow Regional Airport","WA","OTX","OTX","America/Los_Angeles",46.74377,-117.11579
"KPWT","Bremerton, Bremerton National Airport","WA","SEW","ATX","America/Los_Angeles",47.5,-122.75
"KRNT","Renton Municipal Airport","WA","SEW","ATX","US/Pacific",47.49509,-122.21437
"KSEA","Seattle, Seattle-Tacoma International Airport","WA","SEW","ATX","America/Los_Angeles",47.44472,-122.31361
"KSFF","Spokane, Felts Field","WA","OTX","OTX","America/Los_Angeles",47.68556,-117.32028
"KSHN","Shelton, Shelton Sanderson Field","WA","SEW","LGX","America/Los_Angeles",47.23806,-123.14083
"KSKA","Fairchild Air Force Base","WA","OTX","OTX","America/Los_Angeles",47.61667,-117.65
"KSMP","Stampede Pass","WA","PDT","ATX","America/Los_Angeles",47.27648,-121.33817
"KTCM","Tacoma / McChord Air Force Base","WA","SEW","ATX","America/Los_Angeles",47.15,-122.48333
"KTIW","Tacoma, Tacoma Narrows Airport","WA","SEW","ATX","America/Los_Angeles",47.2675,-122.57611
"KUIL","Quillayute, Quillayute State Airport","WA","SEW","LGX","America/Los_Angeles",47.9375,-124.555
"KVUO","Pearson Airfield","WA","PQR","RTX","America/Los_Angeles",45.62103,-122.65419
"KYKM","Yakima Air Terminal - McAllister Field","WA","PDT","PDT","America/Los_Angeles",46.56402,-120.53484
"KOMK","Omak Airport","WA","OTX","OTX","America/Los_Angeles",48.46116,-119.52086
"KBVS","Burlington/Mount Vernon, Skagit Regional Airport","WA","SEW","ATX","America/Los_Angeles",48.47083,-122.42083
"KNOW","Port Angeles Coast Guard Air Station","WA","SEW","ATX","US/Pacific",48.13333,-123.4
"KORS","Eastsound, Orcas Island Airport","WA","SEW","ATX","America/Los_Angeles",48.70806,-122.91028
"KCLS","Chehalis-Centralia Airport","WA","SEW","LGX","America/Los_Angeles",46.677,-122.9827
"KPLU","Pierce County-Thun Field","WA","SEW","ATX","America/Los_Angeles",47.104,-122.287
"KRLD","Richland Airport","WA","PDT","PDT","America/Los_Angeles",46.30859,-119.3058
